run,column,smooth,seed,kind,i,depth,n_windows,grid_match
mod_wd0,weight_norm,101,0,observed,-1,0.9997895176868375,195,True
mod_wd0,weight_norm,101,0,surrogate,0,1.5787596965196966,195,True
mod_wd0,weight_norm,101,0,surrogate,1,3.4381816743235163,195,True
mod_wd0,weight_norm,101,0,surrogate,2,3.055674675909484,195,True
mod_wd0,weight_norm,101,0,surrogate,3,2.174583204160109,195,True
mod_wd0,weight_norm,101,0,surrogate,4,1.1409106808484721,195,True
mod_wd0,weight_norm,101,0,surrogate,5,2.0039080131648146,195,True
mod_wd0,weight_norm,101,0,surrogate,6,1.159206574881409,195,True
mod_wd0,weight_norm,101,0,surrogate,7,1.979503401698066,195,True
mod_wd0,weight_norm,101,0,surrogate,8,3.4719851260667642,195,True
mod_wd0,weight_norm,101,0,surrogate,9,0.8564001248332248,195,True
mod_wd0,weight_norm,101,0,surrogate,10,1.0105751511385148,195,True
mod_wd0,weight_norm,101,0,surrogate,11,2.266169119957924,195,True
mod_wd0,weight_norm,101,0,surrogate,12,1.677208313063935,195,True
mod_wd0,weight_norm,101,0,surrogate,13,2.220325126347321,195,True
mod_wd0,weight_norm,101,0,surrogate,14,1.041816603931246,195,True
mod_wd0,weight_norm,101,0,surrogate,15,2.52553402398855,195,True
mod_wd0,weight_norm,101,0,surrogate,16,2.7611628016780783,195,True
mod_wd0,weight_norm,101,0,surrogate,17,3.1596999590317227,195,True
mod_wd0,weight_norm,101,0,surrogate,18,0.8589570480235588,195,True
mod_wd0,weight_norm,101,0,surrogate,19,0.6898795203025108,195,True
mod_wd0,weight_norm,101,0,surrogate,20,1.051345272309462,195,True
mod_wd0,weight_norm,101,0,surrogate,21,1.1896535926390062,195,True
mod_wd0,weight_norm,101,0,surrogate,22,2.6276470225532527,195,True
mod_wd0,weight_norm,101,0,surrogate,23,1.3825131664372616,195,True
mod_wd0,weight_norm,101,0,surrogate,24,3.619016549111792,195,True
mod_wd0,weight_norm,101,0,surrogate,25,0.9768752539873162,195,True
mod_wd0,weight_norm,101,0,surrogate,26,1.8375530410461074,195,True
mod_wd0,weight_norm,101,0,surrogate,27,1.2429949798519804,195,True
mod_wd0,weight_norm,101,0,surrogate,28,3.445346288259428,195,True
mod_wd0,weight_norm,101,0,surrogate,29,1.9086672872425081,195,True
mod_wd0,weight_norm,101,0,surrogate,30,1.1280558579565432,195,True
mod_wd0,weight_norm,101,0,surrogate,31,2.6717206564059297,195,True
mod_wd0,weight_norm,101,0,surrogate,32,2.016811834040059,195,True
mod_wd0,weight_norm,101,0,surrogate,33,2.298389089034682,195,True
mod_wd0,weight_norm,101,0,surrogate,34,2.565593872513666,195,True
mod_wd0,weight_norm,101,0,surrogate,35,2.048807112058929,195,True
mod_wd0,weight_norm,101,0,surrogate,36,2.7268511464719687,195,True
mod_wd0,weight_norm,101,0,surrogate,37,2.3227929899199586,195,True
