latent_fro,latent_projection,gradient_fro,output_fro,parameter_fro,parameter_projection,loss,train_acc,step,k,seed
5.527450636888952e-05,9.121855516546816e-06,0.00046062088640741266,0.0,5.527450636888952e-05,1.6987001630979536e-06,0.0014289757326996432,0.09873793615441723,0,13,2
0.00011054852031455968,0.0001235883106289261,0.0004606167828805847,5.5274506368889534e-05,0.00011054852031455968,2.3449289381373053e-05,0.0014289502722209337,0.236822568671121,1,13,2
0.00016582204184139738,4.071048487841187e-05,0.0004606126793903142,0.0001105485203145597,0.00016582204184139738,-1.216146933793131e-05,0.0014289248121958618,0.236822568671121,2,13,2
0.0002210950709537894,-7.376345384428713e-05,0.0004606085759366,0.0001658220418413974,0.0002210950709537894,-7.223641272262122e-05,0.0014288993526244177,0.236822568671121,3,13,2
0.0002763676076561225,0.00014789277209037707,0.00046060447251944256,0.0002210950709537894,0.0002763676076561225,-0.0003163860485324355,0.0014288738935065947,0.236822568671121,4,13,2
0.0003316396519527834,0.00031320566938326246,0.000460600369138841,0.00027636760765612254,0.0003316396519527834,0.0002963614301002051,0.0014288484348423845,0.236822568671121,5,13,2
0.00038691120384815877,-5.7696077920247767e-05,0.0004605962657947952,0.0003316396519527835,0.00038691120384815877,0.0004071727576453303,0.0014288229766317784,0.236822568671121,6,13,2
0.0004421822633466354,-0.0006482428172417831,0.0004605921624873052,0.0003869112038481589,0.0004421822633466354,-0.00020927764317193675,0.0014287975188747688,0.236822568671121,7,13,2
0.0004974528304525998,-0.0009200181022399454,0.0004605880592163695,0.00044218226334663557,0.0004974528304525998,-0.00043056402108048787,0.0014287720615713477,0.236822568671121,8,13,2
0.0005527229051704383,0.0006845289772766784,0.0004605839559819885,0.0004974528304525998,0.0005527229051704383,-0.00032472017404259763,0.0014287466047215064,0.236822568671121,9,13,2
0.000607992487504538,-0.0001960903493232413,0.00046057985278416313,0.0005527229051704385,0.000607992487504538,-0.0016600914127487172,0.0014287211483252375,0.236822568671121,10,13,2
0.0006632615774592849,0.0008566477192429867,0.00046057574962289074,0.0006079924875045381,0.0006632615774592849,0.0004944471156823546,0.0014286956923825326,0.236822568671121,11,13,2
0.0007185301750390656,-0.0012059673367577257,0.00046057164649817304,0.000663261577459285,0.0007185301750390656,-0.0006217474782792072,0.0014286702368933838,0.236822568671121,12,13,2
0.0007737982802482666,0.0007398684023444788,0.00046056754341000796,0.0007185301750390657,0.0007737982802482666,-0.000514942213644082,0.0014286447818577827,0.236822568671121,13,13,2
0.0008290658930912741,-0.0007918763463037265,0.0004605634403583963,0.0007737982802482666,0.0008290658930912741,0.0021237824556684156,0.0014286193272757216,0.236822568671121,14,13,2
0.0008843330135724747,0.0009178585822195028,0.00046055933734333754,0.0008290658930912741,0.0008843330135724747,-0.001157438042116057,0.001428593873147192,0.236822568671121,15,13,2
0.0009395996416962543,-8.073675451693838e-05,0.0004605552343648306,0.0008843330135724748,0.0009395996416962543,0.0001186456360249767,0.0014285684194721864,0.236822568671121,16,13,2
0.0009948657774669994,0.000312262807029555,0.00046055113142287656,0.0009395996416962545,0.0009948657774669994,5.0375127716932046e-05,0.0014285429662506963,0.236822568671121,17,13,2
0.0010501314208890963,0.0014622022207643494,0.0004605470285174741,0.0009948657774669996,0.0010501314208890963,9.506266839339476e-05,0.0014285175134827134,0.236822568671121,18,13,2
0.001105396571966931,-0.0002968232706127416,0.0004605429256486233,0.0010501314208890965,0.001105396571966931,-0.0009223399193507958,0.0014284920611682302,0.236822568671121,19,13,2
0.00116066123070489,0.0012635419243321967,0.00046053882281632357,0.0011053965719669313,0.00116066123070489,0.0024150044676100905,0.0014284666093072379,0.236822568671121,20,13,2
0.001215925397107359,-0.0012583122440293162,0.00046053472002057487,0.0011606612307048902,0.001215925397107359,0.0009997453827135883,0.0014284411578997294,0.236822568671121,21,13,2
0.001271189071178724,-0.00039187743333851454,0.0004605306172613762,0.001215925397107359,0.001271189071178724,0.0005418599002825678,0.001428415706945696,0.236822568671121,22,13,2
0.0013264522529233716,0.0013156268339442202,0.0004605265145387285,0.0012711890711787242,0.0013264522529233716,0.002137024140091555,0.0014283902564451295,0.236822568671121,23,13,2
0.001381714942345687,-0.0014404214086426927,0.0004605224118526295,0.0013264522529233716,0.001381714942345687,0.00032877979869529894,0.001428364806398022,0.236822568671121,24,13,2
0.0014369771394500566,-0.0034869914218244986,0.00046051830920308104,0.0013817149423456872,0.0014369771394500566,0.0016455922410146045,0.0014283393568043654,0.236822568671121,25,13,2
0.0014922388442408663,0.00040086088242760034,0.0004605142065900812,0.001436977139450057,0.0014922388442408663,0.000555346053628197,0.001428313907664152,0.236822568671121,26,13,2
