step,weightproj__W_U__r0,weightproj__W_U__r1,weightproj__W_U__r2,weightproj__embed__W_E__r0,weightproj__embed__W_E__r1,weightproj__embed__W_E__r2,weightproj__pos_embed__W_pos__r0,weightproj__pos_embed__W_pos__r1,weightproj__pos_embed__W_pos__r2,weightproj__attn__W_K__r0,weightproj__attn__W_K__r1,weightproj__attn__W_K__r2,weightproj__attn__W_Q__r0,weightproj__attn__W_Q__r1,weightproj__attn__W_Q__r2,weightproj__attn__W_V__r0,weightproj__attn__W_V__r1,weightproj__attn__W_V__r2,weightproj__attn__W_O__r0,weightproj__attn__W_O__r1,weightproj__attn__W_O__r2,weightproj__mlp__W_in__r0,weightproj__mlp__W_in__r1,weightproj__mlp__W_in__r2,weightproj__mlp__b_in__r0,weightproj__mlp__b_in__r1,weightproj__mlp__b_in__r2,weightproj__mlp__W_out__r0,weightproj__mlp__W_out__r1,weightproj__mlp__W_out__r2,weightproj__mlp__b_out__r0,weightproj__mlp__b_out__r1,weightproj__mlp__b_out__r2
2950.0,3.2097919046781276,2.322065496719315,3.016583855971603,2.197009562006061,1.9044608410396868,2.71598961152816,4.195502521103086,2.907316918824128,3.5328483194578064,6.43080397381101,6.801354176946087,7.373606546532962,3.5743696761611248,4.049918546060114,3.9837651725333854,2.199704037572308,3.1008357473789223,3.8657304049089825,3.12674643776835,4.1375891414311585,4.463809394063687,4.142677528934722,3.1429694158934187,2.32790945730506,2.6942521753699062,3.179067616808845,4.056839748309405,2.366511190779921,2.2773016319774624,2.4946188645695884,3.838567224408194,4.083867038502283,3.223365981177012
3000.0,3.291745289338108,2.334172822680148,3.0312470042660005,2.2096552025661267,1.8828660383066038,2.7378936700973924,4.320425691585936,2.898836886473402,3.594695492541626,6.684580090957524,6.791473502701605,7.8484781913489865,3.6644525681695077,4.230650824580841,4.014198693316283,2.2118390177879155,3.1553103844133203,3.967715280205941,3.067353402566745,4.246578028315249,4.693799754668937,4.3615168717903465,3.2527823514669336,2.343490170163999,2.738975872235772,3.217099909824482,4.143634729946758,2.342648403345595,2.3873933287166507,2.499542088689002,3.797096171184895,4.085019607038101,3.184818170663711
3050.0,3.381588104007708,2.3594753107494033,3.0733840814428928,2.2404713253379085,1.9137249155224847,2.7262484965857827,4.368693811177766,2.897404913137439,3.6914895194322366,6.79830238160681,6.7008293581864535,7.863639280730473,3.7198567399442783,4.437131611074337,4.034929231422466,2.1999728928732667,3.224822928960996,4.066712388355056,3.0298090437410212,4.323581568858647,4.741102776719722,4.496181114439411,3.40420619187325,2.4119218353273024,2.7529040017299593,3.2156118940221474,4.270696069383812,2.321319303035836,2.447964892028649,2.5039847088044587,3.786628210939155,4.132045214384645,3.1182216211548464
3100.0,3.439483871116535,2.415354356125876,3.1291764787602925,2.2382906632076076,1.9491058916922264,2.75899580873759,4.365821241791833,2.917441503386427,3.7746753942123314,7.06518093054691,6.566582615085538,7.944578909615808,3.7469354963114068,4.541145251261313,4.007950998643022,2.1832159376660587,3.2924443993721115,4.108586013590913,2.9528633905466215,4.479633291804158,4.702205573869047,4.640526499604646,3.5251792437950615,2.5913118125041454,2.746483005613484,3.1716128740156595,4.38965011516507,2.352110929109415,2.4827966432444284,2.5208909829159305,3.7754545585213006,4.125218817192962,3.0977439943422596
3150.0,3.4784157702173166,2.451592150218566,3.2140375668716503,2.2652809271135887,1.984679590225563,2.8700655948522606,4.427092099852979,2.8937317255575934,3.8990145178263926,7.491923765732714,6.405699686293056,7.979501142290282,3.8550841400665794,4.743305911368801,3.9634106948859142,2.1700584624928148,3.373454221217732,4.061646636999039,2.8474976780054844,4.607933711894256,4.52881026415525,4.764036317328256,3.599754440736283,2.6971900648868083,2.699369647515097,3.107447218614343,4.466318187858002,2.3424022022652164,2.5300656537670316,2.528515279529764,3.7352388394746168,4.175790132449699,3.0914824343509286
3200.0,3.4904459104912946,2.468315628953456,3.3207236151314676,2.3072162171452644,2.0303807178856106,2.9393408477254743,4.528486901362727,2.963421185465391,4.034541610687936,8.04556556784788,6.30032251733306,7.8577296198749345,3.9620055332837243,5.012747204786638,3.9735360194528635,2.174019341258535,3.4306217115619386,4.053522118400063,2.772621985784928,4.565084152466627,4.32669587536149,4.822726475462691,3.6221303517289423,2.764741622611596,2.6992229778205985,3.125509718689273,4.476622980858004,2.3387257840086666,2.5612384238422683,2.5322350526478083,3.651727909910651,4.190324296773984,3.073440475751272
3250.0,3.4643122177225094,2.49697288645425,3.4339531621945234,2.36382329065626,2.0581378773387287,3.0215354499233977,4.697989421885886,2.9982755272494197,4.141522704242825,8.42490561562474,6.174652206724819,7.565143441453508,4.143873012029474,5.378231061571799,4.021034140522907,2.1647741431976266,3.426752029312482,4.061350627434519,2.7797854925453347,4.4634412111266695,4.309871475957459,4.755390917036909,3.6087161040889555,2.811960128620419,2.651828210895031,3.14185175951605,4.606183108512053,2.3277283586866004,2.5929424275963893,2.5826088738834936,3.5380115556511678,4.1973544426848175,3.0699940139305397
3300.0,3.519261619572531,2.5013788452189347,3.5313831628075967,2.4134427469100044,2.0665307056940705,3.0620512308942756,4.644321131805539,3.0616882188822423,4.2934807958710275,8.889150121021467,5.997392169524911,7.165745783024144,4.316206352967191,5.876421445370458,4.0527677093115635,2.142243173420062,3.453681078702507,4.0832169006899495,2.8042494079272884,4.374285794875128,4.407983310217858,4.722117312025358,3.584021862279984,2.9049159778138933,2.6753203734538338,3.1585536403856844,4.733616286957348,2.31742809896358,2.645642393392222,2.6163234547744474,3.466790578777188,4.185228645702164,3.024577679428247
3350.0,3.508371350255264,2.4968395026895385,3.642568789977929,2.4769819506373394,2.0733973413992666,3.0273313672149906,4.735048823381924,3.121687563734241,4.430500768904794,9.4637215852841,5.845276801184226,6.806520115974463,4.446441454482773,6.208532846650742,4.156908918506464,2.0939472521403655,3.446140333067339,4.108926356824352,2.863924135482984,4.401722579117545,4.449913352341186,4.801839695022861,3.631158696977377,2.959809315273836,2.6900602489089285,3.1602916501891363,4.9396753647703475,2.3140417399332303,2.7287177152044833,2.679463648655073,3.456106128732845,4.322852948251065,3.0431835776099962
3400.0,3.637492208089617,2.489963458815663,3.7289532236080087,2.5196828782572065,2.0577251055560946,3.010375714450541,4.906868074141859,3.1536135408150563,4.590392407326277,9.49707724962025,5.686430863627807,6.290144424954376,4.420441417863885,6.753496691009523,4.1388889511885,2.0657243987055374,3.4410682247363567,4.048776096275337,2.920521652118926,4.487797586936643,4.390455515550863,5.141255930528033,3.631141404931002,3.0594559232390557,2.737629349817229,3.159999134845068,5.313387975208518,2.295124441435,2.7830796823271444,2.6850696626342274,3.446122504051193,4.2660638650167675,3.01832487512834
